#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2018-07-25T22:34:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5b58f6c92355f	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=J/ApJ/810/14/highlat
#-nav=cat:J/ApJ/810/14&tab:{J/ApJ/810/14/highlat}&key:source=J/ApJ/810/14/highlat&HTTPPRM:&&-ref=VIZ5b58f6c92355f&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=3FGL&-out=VHE&-out=CName&-out=RAJ2000&-out=DEJ2000&-out=Sep&-out=PosErr&-out=SpCl&-out=z&-out=FRad&-out=n_FRad&-out=FX&-out=Vmag1&-out=Vmag2&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJ/810/14/highlat
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/810/14/highlat
#-out=3FGL
#-out=VHE
#-out=CName
#-out=RAJ2000
#-out=DEJ2000
#-out=Sep
#-out=PosErr
#-out=SpCl
#-out=z
#-out=FRad
#-out=n_FRad
#-out=FX
#-out=Vmag1
#-out=Vmag2
#

#RESOURCE=yCat_18100014
#Name: J/ApJ/810/14
#Title: Third catalog of LAT-detected AGNs (3LAC) (Ackermann+, 2015)
#Table	J_ApJ_810_14_highlat:
#Name: J/ApJ/810/14/highlat
#Title: High latitude (|b|>10deg) 3LAC full  sample and fluxes
#Column	3FGL	(A13)	3FGL Source Name (JHHMM.m+DDMMa)	[ucd=meta.id;meta.main]
#Column	VHE	(I3)	Simbad column added by the CDS [NULL integer written as an empty string]	[ucd=meta.code]
#Column	CName	(a26)	Name of the counterpart source	[ucd=meta.id.cross]
#Column	RAJ2000	(F9.5)	Radio counterpart right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Radio counterpart declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Sep	(F6.3)	[0/0.4] Angular separation with counterpart source	[ucd=meta.id.assoc;pos.angDistance]
#Column	PosErr	(F6.3)	[0/0.6] 95% error radius	[ucd=stat.error;phys.angSize]
#Column	SpCl	(a7)	Optical class (G1)	[ucd=src.class]
#Column	z	(F8.5)	[0.001/3.2]? Redshift	[ucd=src.redshift]
#Column	FRad	(F9.2)	? Radio flux	[ucd=phot.flux.density;em.radio]
#Column	n_FRad	(A1)	Flag on FRad (G4)	[ucd=meta.note]
#Column	FX	(F8.3)	? X-ray flux; units of 1e-13erg/cm2/s	[ucd=phot.flux;em.X-ray]
#Column	Vmag1	(F6.3)	? USNO V band magnitude	[ucd=phot.mag;em.opt.V]
#Column	Vmag2	(F6.3)	? SDSS V band magnitude	[ucd=phot.mag;em.opt.V]
3FGL	VHE	CName	RAJ2000	DEJ2000	Sep	PosErr	SpCl	z	FRad	n_FRad	FX	Vmag1	Vmag2
J1136.4+3405 	  0	MG2 J113627+3408          	174.11393	+34.12763	 0.029	 0.118	fsrq   	 1.33200	   136.58	N	        	19.448	19.340
J1136.6+6736 	  0	RX J1136.5+6737           	174.12536	+67.61787	 0.015	 0.035	bll    	 0.13600	    45.90	N	 238.000	15.017	15.710
J1136.6+7009 	  1	Mkn 180                   	174.11004	+70.15759	 0.016	 0.022	bll    	 0.04500	   328.55	N	 567.000	10.594	
J1136.9+2551 	  0	RX J1136.8+2551           	174.20887	+25.84789	 0.027	 0.049	bll    	 0.15600	    16.42	N	   8.260	15.574	15.990
J1138.2+4905 	  0	GB6 J1138+4858            	174.50861	+48.98245	 0.120	 0.205	bcu II 	        	    43.05	N	        	20.410	20.560
J1140.4+1529 	  0	NVSS J114023+152808       	175.09813	+15.46893	 0.029	 0.056	bll    	 0.24400	    70.10	N	  87.300	16.999	16.670
J1141.2+6805 	  0	1RXS J114118.3+680433     	175.32717	+68.07499	 0.024	 0.058	bcu II 	        	    22.53	N	   2.170	19.785	20.440
J1141.6-1406 	  0	1RXS J114142.2-140757     	175.42420	-14.13188	 0.016	 0.087	bcu II 	        	    59.90	N	  22.300	18.273	
J1142.0+1546 	  0	MG1 J114208+1547          	175.53223	+15.79838	 0.034	 0.053	bll    	 0.29900	   334.20	N	        	19.852	19.510
J1143.0+6123 	  0	87GB 114026.7+613850      	175.80041	+61.36966	 0.019	 0.042	bll    	        	    84.03	N	        	16.955	17.360
J1145.1+1935 	  0	3C 264                    	176.27087	+19.60632	 0.019	 0.082	rdg    	 0.02172	  3514.05	N	        	 8.564	11.760
J1145.8+4425 	  0	B3 1143+446A              	176.41049	+44.33942	 0.089	 0.126	fsrq   	 0.29984	   362.71	N	        	18.007	17.030
J1146.8+3958 	  0	S4 1144+40                	176.74291	+39.97620	 0.016	 0.027	fsrq   	 1.08900	   331.54	N	        	18.291	18.290
J1146.8+3958 	  0	NVSS J114653+395751       	176.72277	+39.96414	 0.005	 0.027	bcu III	        	    24.58	N	        	      	
J1147.0-3811 	  0	PKS 1144-379              	176.75571	-38.20306	 0.020	 0.041	fsrq   	 1.04800	  1804.31	N	  25.200	16.946	
J1147.8-0725 	  0	PKS 1145-071              	176.96481	-07.41143	 0.015	 0.045	fsrq   	 1.34200	   740.54	N	        	18.245	
J1149.5+2443 	  0	RX J1149.5+2439           	177.37648	+24.65748	 0.064	 0.128	bll    	 0.40200	    28.64	N	  97.300	18.203	17.710
J1150.3+2417 	  0	OM 280                    	177.58005	+24.29829	 0.017	 0.043	bll    	 0.18000	   798.26	N	        	16.253	15.480
J1150.5+4155 	  0	RBS 1040                  	177.64481	+41.91112	 0.011	 0.021	bll    	        	    26.48	N	  37.500	16.816	16.670
J1151.4+5858 	  0	TXS 1148+592              	177.85275	+58.98821	 0.009	 0.028	bll    	        	   184.88	N	  13.000	16.706	15.630
J1151.4-1346 	  0	PMN J1151-1347            	177.87488	-13.79746	 0.024	 0.058	bll    	 0.83800	    35.26	N	        	18.961	
J1152.3-0841 	  0	PKS B1149-084             	178.07171	-08.68425	 0.014	 0.068	fsrq   	 2.37000	   697.97	N	        	19.674	
J1153.4+4033 	  0	B3 1151+408               	178.47775	+40.61462	 0.106	 0.106	fsrq   	 0.91600	  1136.21	N	        	20.355	19.010
J1153.4+4932 	  0	OM 484                    	178.35194	+49.51912	 0.017	 0.033	fsrq   	 0.33400	  1572.78	N	  58.400	17.007	16.690
J1153.7-2555 	  0	PMN J1153-2553            	178.36011	-25.90192	 0.069	 0.077	bcu III	        	    84.45	N	        	      	
J1154.0-3243 	  0	PKS 1151-324              	178.52569	-32.71194	 0.016	 0.039	bcu II 	        	   211.54	N	        	18.880	
J1154.2-0010 	  0	1RXS J115404.9-001008     	178.51898	-00.16941	 0.035	 0.051	bll    	 0.25400	    10.74	N	  48.100	18.009	17.410
J1154.3+6023 	  0	RX J1154.0+6022           	178.51890	+60.37245	 0.038	 0.104	fsrq   	 1.12000	    97.15	N	        	20.066	19.370
J1155.4-3417 	  0	NVSS J115520-341718       	178.83549	-34.28880	 0.024	 0.043	bcu II 	        	    23.82	N	        	16.838	
J1155.9+6136 	  0	SDSS J115548.40+613553.8  	178.95169	+61.59830	 0.012	 0.118	bll    	        	     3.37	N	        	      	18.570
J1156.7-2250 	  0	NVSS J115633-225004       	179.13824	-22.83447	 0.041	 0.063	bcu II 	        	    17.17	N	        	17.899	
J1158.8+0941 	  0	GB6 J1158+0937            	179.72656	+09.61991	 0.067	 0.089	bll    	        	    34.22	N	        	18.367	17.900
J1158.9+0818 	  0	RX J1158.8+0819           	179.72276	+08.33329	 0.023	 0.063	bcu III	        	     7.39	N	   8.600	      	21.500
J1159.2-2141 	  0	PMN J1159-2142            	179.83930	-21.71248	 0.031	 0.053	fsrq   	 0.61700	   321.08	N	        	19.037	
J1159.3-2226 	  0	PKS 1156-221              	179.79695	-22.47692	 0.045	 0.047	bcu I  	 0.56500	  1178.33	N	        	18.848	
J1159.5+2914 	  0	Ton 599                   	179.88264	+29.24551	 0.008	 0.017	fsrq   	 0.72500	  2031.72	N	  14.900	17.417	17.710
J1159.6-0723 	  0	PMN J1159-0723            	179.88251	-07.39896	 0.024	 0.069	bcu II 	        	    77.15	N	        	18.886	
J1200.8+1228 	  0	GB6 J1200+1230            	180.16679	+12.51756	 0.067	 0.077	bcu II 	        	    44.93	N	        	19.980	18.350
J1200.9+2010 	  0	TXS 1158+204              	180.23797	+20.14572	 0.035	 0.115	bcu II 	        	   141.43	N	        	      	
J1203.1+6029 	  0	SBS 1200+608              	180.76461	+60.52199	 0.030	 0.050	bll    	 0.06530	   190.94	N	  13.300	11.906	14.550
J1203.2+3847 	  0	NVSS J120257+385147       	180.73790	+38.86302	 0.090	 0.114	bll    	        	    24.04	N	        	      	18.190
J1203.5-3925 	  0	PMN J1203-3926            	180.82413	-39.43853	 0.046	 0.046	bcu II 	        	    64.66	N	  30.000	17.863	
J1204.0+1144 	  0	1RXS J120413.0+114549     	181.05048	+11.76537	 0.046	 0.069	bll    	 0.29600	    15.24	N	  22.900	17.740	17.180
J1204.3-0708 	  0	1RXS J120417.0-070959     	181.06944	-07.16917	 0.037	 0.039	bll    	 0.18400	   168.88	N	  21.600	15.313	
J1205.4+0412 	  0	PKS 1203+04               	181.58303	+04.10335	 0.236	 0.224	ssrq   	 0.53600	  1502.31	N	        	      	19.230
J1205.4+0412 	  0	MG1 J120448+0408          	181.21531	+04.13725	 0.176	 0.224	fsrq   	 1.94700	   133.60	N	        	      	20.040
J1205.8-2636 	  0	PKS 1203-26               	181.38838	-26.56791	 0.076	 0.073	fsrq   	 0.78900	  1654.38	N	  16.600	19.373	
J1207.6-2232 	  0	NVSS J120738-223250       	181.90879	-22.54751	 0.013	 0.132	bcu II 	        	    59.32	N	        	20.361	
J1207.6-4537 	  0	PMN J1207-4531            	181.92579	-45.50494	 0.123	 0.143	bcu III	        	   166.50	S	        	18.040	
J1208.2-7810 	  0	PKS 1205-778              	182.07648	-78.16350	 0.005	 0.076	bcu II 	        	   246.70	S	        	      	
J1208.7+5442 	  0	TXS 1206+549              	182.22607	+54.69949	 0.023	 0.041	fsrq   	 1.34500	   302.09	N	        	19.429	18.390
J1209.4+4119 	  0	B3 1206+416               	182.34495	+41.32816	 0.007	 0.052	bll    	        	   274.34	N	  12.300	17.335	17.080
J1209.8+1810 	  0	MG1 J120953+1809          	182.46568	+18.16856	 0.010	 0.050	fsrq   	 0.84500	    73.38	N	        	19.552	18.210
J1212.6+5135 	  0	1RXS J121301.8+512942     	183.25365	+51.49328	 0.122	 0.113	bll    	        	    36.32	N	  17.000	18.472	17.940
J1213.1-2619 	  0	RBS 1080                  	183.34636	-26.30217	 0.048	 0.078	bll    	 0.27800	     7.44	N	 106.000	17.755	
J1213.7+1306 	  0	4C +13.46                 	183.38404	+13.12247	 0.052	 0.144	fsrq   	 1.13900	  1344.81	N	        	17.534	17.780
J1215.0+5002 	  0	NVSS J121500+500216       	183.75333	+50.03765	 0.014	 0.047	bll    	        	    86.62	N	        	17.634	16.950
J1215.1+1658 	  0	TXS 1212+171              	183.76658	+16.91054	 0.062	 0.079	fsrq   	 1.13200	   298.83	N	   7.970	19.544	
J1217.8+3007 	  1	1ES 1215+303              	184.46701	+30.11684	 0.002	 0.016	bll    	 0.13000	   572.83	N	 864.000	13.807	14.860
J1218.0-0029 	  0	PKS 1215-002              	184.49470	-00.49619	 0.018	 0.086	bll    	 0.41900	   452.54	N	        	19.698	17.120
J1218.4-0121 	  0	PKS 1216-010              	184.64554	-01.33176	 0.050	 0.063	bll    	        	   244.55	N	        	18.983	16.970
J1218.5+6912 	  0	NVSS J122044+690522       	185.18567	+69.09036	 0.232	 0.339	bcu III	        	     8.18	N	  53.800	19.658	
J1218.8-4827 	  0	PMN J1219-4826            	184.75938	-48.44108	 0.035	 0.074	bcu II 	        	    62.00	S	        	17.527	
J1219.7-0314 	  0	1RXS J121946.0-031419     	184.94047	-03.24000	 0.009	 0.073	bll    	 0.29900	    29.06	N	  33.400	17.889	17.140
J1220.2+3434 	  0	GB2 1217+348              	185.03456	+34.52271	 0.052	 0.073	bll    	        	   250.91	N	   4.810	17.137	16.890
J1220.2+7105 	  0	S5 1217+71                	185.01512	+71.09198	 0.017	 0.080	fsrq   	 0.45100	   252.53	N	        	      	
J1221.3+3010 	  1	PG 1218+304               	185.34143	+30.17699	 0.001	 0.015	bll    	 0.18200	    71.57	N	 316.000	15.463	15.670
J1221.4+2814 	  1	W Comae                   	185.38204	+28.23292	 0.010	 0.021	bll    	 0.10300	   732.25	N	  22.900	14.422	14.570
J1222.4+0414 	  0	4C +04.42                 	185.59396	+04.22105	 0.021	 0.074	fsrq   	 0.96600	   800.87	N	  16.000	17.304	16.420
J1222.7+8041 	  0	S5 1221+80                	185.91872	+80.66787	 0.047	 0.048	bll    	        	   705.20	N	   4.630	19.420	
J1223.3-3028 	  0	NVSS J122337-303246       	185.90420	-30.54725	 0.093	 0.127	bcu II 	        	     8.28	N	        	17.660	
J1224.5+2436 	  1	MS 1221.8+2452            	186.10078	+24.60653	 0.032	 0.043	bll    	 0.21800	    26.01	N	  27.500	17.924	16.370
J1224.5+4957 	  0	SBS 1221+503              	186.04133	+50.03208	 0.091	 0.153	fsrq   	 1.06600	    46.98	N	        	16.840	17.370
J1224.6+4332 	  0	B3 1222+438               	186.21461	+43.58869	 0.060	 0.104	bll    	        	   366.61	N	        	      	19.290
J1224.6-8312 	  0	PKS 1221-82               	186.22659	-83.21947	 0.012	 0.118	bcu I  	        	   517.60	S	        	      	
J1224.9+2122 	  1	4C +21.35                 	186.22691	+21.37955	 0.003	 0.010	fsrq   	 0.43500	  2095.20	N	  38.200	16.249	15.850
J1225.7-7314 	  0	PMN J1225-7313            	186.39704	-73.22764	 0.018	 0.075	bcu II 	        	   267.30	S	        	18.644	
J1226.8+0638 	  0	1RXS J122645.2+063906     	186.68425	+06.64814	 0.016	 0.064	bll    	        	    17.37	N	  16.700	18.522	16.800
J1226.9-1329 	  0	PMN J1226-1328            	186.72674	-13.47750	 0.026	 0.047	bll    	 0.45600	   146.21	N	        	      	
J1228.7+4857 	  0	TXS 1226+492              	187.21570	+48.96703	 0.023	 0.060	fsrq   	 1.72200	   387.55	N	        	20.295	18.140
J1229.1+0202 	  0	3C 273                    	187.27792	+02.05239	 0.015	 0.019	fsrq   	 0.15800	 54992.24	N	1110.000	13.941	13.230
J1230.3+2519 	  0	ON 246                    	187.55871	+25.30198	 0.028	 0.055	bll    	 0.13500	   244.06	N	  39.200	15.362	14.230
J1230.9+1224 	  1	M 87                      	187.70593	+12.39112	 0.026	 0.042	rdg    	 0.00428	138488.36	N	        	 9.376	
J1231.5+6414 	  0	MS 1229.2+6430            	187.88081	+64.23841	 0.004	 0.059	bll    	 0.16300	    58.91	N	  43.900	14.687	15.890
J1231.7+2847 	  0	B2 1229+29                	187.93155	+28.79716	 0.014	 0.023	bll    	 0.23645	   141.65	N	  29.700	17.009	16.790
J1231.8+1421 	  0	GB6 J1231+1421            	187.84961	+14.35678	 0.113	 0.117	bll    	 0.25600	    55.64	N	        	17.281	16.630
J1233.7-0145 	  0	NVSS J123341-014426       	188.42223	-01.73992	 0.021	 0.043	bll    	        	    28.93	N	        	18.106	17.860
J1236.6+3901 	  0	RX J1236.4+3859           	189.09534	+39.00089	 0.059	 0.107	bll    	 0.39000	    37.12	N	   4.960	18.151	17.590
J1237.9+6258 	  0	1H 1241+626               	189.41435	+62.97877	 0.037	 0.062	bll    	 0.29700	    12.60	N	  40.300	18.053	17.350
J1238.2-1958 	  0	PMN J1238-1959            	189.60162	-19.98713	 0.035	 0.060	bcu II 	        	    95.13	N	   9.400	17.299	
J1238.3-4543 	  0	PMN J1238-4541            	189.52516	-45.69157	 0.058	 0.068	bcu II 	        	   107.30	S	        	17.197	
J1239.4+0727 	  0	PKS 1236+077              	189.85245	+07.50477	 0.047	 0.076	bcu I  	 0.40000	   567.69	N	   7.750	18.550	17.240
J1239.5+0443 	  0	MG1 J123931+0443          	189.88648	+04.71812	 0.009	 0.024	fsrq   	 1.76200	   354.46	N	   4.220	      	20.220
J1241.6-1456 	  0	RX J1241.8-1455           	190.45568	-14.93292	 0.049	 0.080	bll    	        	    17.29	N	 181.000	16.579	16.280
J1241.9+0639 	  0	1ES 1239+069              	190.45102	+06.59976	 0.066	 0.093	bll    	 0.15000	    16.62	N	  17.600	18.675	18.120
J1243.1+3627 	  0	Ton 116                   	190.80307	+36.46222	 0.010	 0.023	bll    	        	   148.04	N	 162.000	16.250	15.640
J1243.9-0217 	  0	PMN J1243-0218            	190.96870	-02.31067	 0.028	 0.139	bcu II 	        	    77.84	N	        	      	
J1244.1+1615 	  0	SDSS J124444.35+161621.7  	191.18394	+16.27300	 0.133	 0.176	bll    	 0.45600	    14.39	N	        	19.473	18.260
J1244.1+1615 	  0	3C 275.1                  	190.99021	+16.38150	 0.130	 0.176	ssrq   	        	  2896.62	N	   7.670	18.846	18.080
J1244.3-4955 	  0	SUMSS J124422-495422      	191.09574	-49.90619	 0.020	 0.110	bcu II 	        	    99.70	S	        	17.863	
J1244.8+5707 	  0	1RXS J124510.5+571020     	191.29166	+57.16510	 0.062	 0.094	bll    	        	    83.87	N	   5.300	17.332	16.510
J1246.7-2547 	  0	PKS 1244-255              	191.69501	-25.79702	 0.008	 0.017	fsrq   	 0.63500	  1165.65	N	  36.300	17.333	
J1247.0+4421 	  0	RX J1246.9+4423           	191.75323	+44.38890	 0.034	 0.095	bll    	 0.60000	    10.73	N	  35.800	17.845	
J1248.0+5130 	  0	RX J1248.4+5128           	192.14293	+51.46885	 0.085	 0.124	bll    	 0.35100	   114.91	N	   5.240	17.905	17.040
J1248.2+5820 	  0	PG 1246+586               	192.07827	+58.34131	 0.008	 0.018	bll    	        	   245.42	N	  64.500	15.718	14.940
J1249.7+3705 	  0	RX J1249.8+3708           	192.44480	+37.12998	 0.039	 0.048	bll    	        	     6.13	N	   3.960	18.930	18.550
J1250.5+0217 	  0	PKS 1247+025              	192.63575	+02.27560	 0.023	 0.100	bll    	 0.95500	   340.84	N	        	19.597	19.030
J1251.0-0203 	  0	TXS 1248-017              	192.82678	-02.03548	 0.068	 0.094	bcu II 	        	   128.04	N	        	      	20.050
J1251.3+1041 	  0	1RXS J125117.4+103914     	192.82452	+10.65203	 0.042	 0.155	bll    	 0.24540	     5.24	N	  14.100	17.568	17.600
J1253.2+5300 	  0	S4 1250+53                	193.29967	+53.01993	 0.007	 0.018	bll    	        	   488.30	N	   4.750	16.721	16.900
J1253.7+0327 	  0	MG1 J125348+0326          	193.44586	+03.44179	 0.025	 0.044	bll    	 0.06570	   107.11	N	  29.500	12.319	14.110
J1254.1+6240 	  0	1RXS J125400.1+624303     	193.49713	+62.71600	 0.044	 0.072	bll    	        	    12.14	N	   5.660	19.319	18.130
J1254.1-2203 	  0	NVSS J125422-220413       	193.59367	-22.07050	 0.058	 0.091	bcu II 	        	    27.71	N	        	18.915	
J1254.5+2210 	  0	TXS 1252+224              	193.63864	+22.18435	 0.013	 0.053	bll    	        	   101.26	N	        	18.077	16.740
J1254.9-4423 	  0	PKS 1252-441              	193.73964	-44.41572	 0.022	 0.082	bll    	 0.04100	   368.10	S	        	 9.773	
J1256.1-0547 	  1	3C 279                    	194.04653	-05.78931	 0.006	 0.012	fsrq   	 0.53600	  9711.87	N	 405.000	16.545	
J1256.3-1146 	  0	PMN J1256-1146            	194.06647	-11.77704	 0.020	 0.039	bcu I  	 0.05791	    54.51	N	  17.100	11.396	
J1256.7+5328 	  0	TXS 1254+538              	194.16096	+53.57325	 0.106	 0.143	bcu II 	        	   186.50	N	        	      	19.510
J1256.9+3649 	  0	1RXS J125716.0+364713     	194.31910	+36.78748	 0.076	 0.062	bll    	 0.53100	    72.67	N	   7.070	17.645	17.260
J1258.0+6120 	  0	NVSS J125820+612049       	194.58659	+61.34706	 0.031	 0.089	bll    	 0.22400	    10.31	N	        	18.415	22.020
J1258.1+3233 	  0	ON 393                    	194.48847	+32.49148	 0.076	 0.066	fsrq   	 0.80600	   652.56	N	   4.980	18.205	18.390
J1258.6-1800 	  0	PKS B1256-177             	194.65959	-18.00087	 0.010	 0.053	fsrq   	 1.95600	   359.31	N	        	      	
J1258.7+5137 	  0	NVSS J125825+514225       	194.60600	+51.70713	 0.098	 0.098	bcu III	        	    50.64	N	        	19.680	18.580
J1258.7-2219 	  0	PKS 1256-220              	194.72699	-22.32531	 0.031	 0.043	fsrq   	 1.30300	   792.86	N	        	18.965	
J1259.0-2310 	  0	PKS B1256-229             	194.78526	-23.17740	 0.013	 0.062	bcu I  	 0.48100	   482.64	N	        	16.491	
J1259.8-3749 	  0	NVSS J125949-374856       	194.95751	-37.81616	 0.010	 0.052	bcu II 	        	    27.05	N	        	17.353	
J1300.2+1416 	  0	OW 197                    	195.08716	+14.28848	 0.023	 0.173	fsrq   	 1.10600	   559.63	N	   6.950	18.533	18.530
J1300.2+1416 	  0	NVSS J130041+141728       	195.17099	+14.29150	 0.102	 0.173	bcu II 	        	   100.97	N	        	      	20.030
J1302.6+5748 	  0	TXS 1300+580              	195.71861	+57.81045	 0.024	 0.083	bcu I  	 1.08800	   321.09	N	   3.080	21.145	18.730
J1303.0+2435 	  0	MG2 J130304+2434          	195.76340	+24.56548	 0.031	 0.036	bll    	 0.99300	   122.68	N	        	      	18.920
J1303.7-4619 	  0	PMN J1303-4621            	195.91784	-46.35067	 0.038	 0.085	fsrq   	 1.66400	    74.80	S	        	      	
J1304.2-2411 	  0	PMN J1304-2412            	196.06990	-24.20473	 0.014	 0.047	bcu II 	        	    59.56	N	        	18.950	
J1304.3-4353 	  0	1RXS J130421.2-435308     	196.08721	-43.88575	 0.015	 0.020	bll    	        	    43.80	S	  63.100	16.713	
J1304.8-0338 	  0	PKS 1302-035              	196.18184	-03.76738	 0.122	 0.143	fsrq   	 1.25000	   826.67	N	        	18.835	
J1304.9-2109 	  0	PKS B1302-208             	196.24612	-21.11179	 0.046	 0.087	bcu II 	        	   604.37	N	        	      	
J1305.5+7854 	  0	S5 1304+79                	196.25006	+78.90994	 0.025	 0.077	bll    	        	   287.70	N	        	19.530	
J1306.8-2146 	  0	PKS 1304-215              	196.66928	-21.80415	 0.050	 0.089	bcu I  	 0.12600	   312.14	N	        	20.652	
J1307.6-4300 	  0	1RXS J130737.8-425940     	196.90827	-42.99416	 0.009	 0.022	bcu II 	        	    36.20	S	  67.600	15.882	
J1308.7+3545 	  0	5C 12.291                 	197.09879	+35.77699	 0.072	 0.122	fsrq   	 1.05500	   239.82	N	   3.670	      	19.290
J1309.3+4304 	  0	B3 1307+433               	197.35636	+43.08488	 0.013	 0.025	bll    	 0.69100	    60.14	N	   7.120	17.270	16.590
J1309.5+1154 	  0	4C +12.46                 	197.39139	+11.90682	 0.006	 0.085	bll    	        	   855.57	N	        	18.111	17.680
J1310.2-1159 	  0	TXS 1307-117              	197.55178	-11.96306	 0.027	 0.055	bll    	 0.14000	    83.40	N	  26.100	14.089	
J1310.6+2446 	  0	MG2 J131037+2447          	197.66018	+24.80520	 0.025	 0.136	bcu III	        	   116.40	N	        	18.387	16.860
J1310.6+3222 	  0	OP 313                    	197.61943	+32.34550	 0.040	 0.025	fsrq   	 0.99700	  1687.17	N	   8.530	19.016	17.130
J1310.7+5515 	  0	TXS 1308+554              	197.76338	+55.23176	 0.057	 0.115	fsrq   	 0.92500	   425.33	N	        	20.144	18.650
J1311.0+0036 	  0	RX J1311.1+0035           	197.77698	+00.58612	 0.028	 0.067	bll    	        	    17.85	N	  16.500	17.401	17.360
J1312.5-2155 	  0	PKS 1309-216              	198.13148	-21.93983	 0.009	 0.037	bll    	 1.60000	   349.75	N	        	17.435	
J1312.7+4828 	  0	GB 1310+487               	198.18064	+48.47526	 0.005	 0.018	agn    	 0.63800	   221.07	N	        	      	20.040
J1312.7-2349 	  0	NVSS J131248-235046       	198.20316	-23.84638	 0.024	 0.046	bcu III	        	    28.93	N	        	18.373	
J1312.8-0424 	  0	PKS B1310-041             	198.21209	-04.41386	 0.014	 0.078	fsrq   	 0.82500	   226.73	N	   6.370	      	
J1314.7-4237 	  1	MS 13121-4221             	198.76420	-42.61390	 0.053	 0.112	bcu II 	        	    13.90	S	        	15.735	
J1314.8+2349 	  0	TXS 1312+240              	198.68253	+23.80744	 0.034	 0.039	bll    	        	   184.26	N	  17.700	17.389	16.310
J1315.4+1130 	  0	1RXS J131531.9+113327     	198.88658	+11.55877	 0.047	 0.131	bcu II 	        	    20.73	N	  29.400	19.088	18.390
J1316.0-3338 	  0	PKS 1313-333              	199.03327	-33.64977	 0.027	 0.041	fsrq   	 1.21000	  1278.27	N	        	17.616	
J1317.8+3429 	  0	S4 1315+34                	199.40206	+34.42109	 0.094	 0.176	fsrq   	 1.05000	   529.40	N	   5.520	19.079	18.370
J1318.7-1232 	  0	PMN J1318-1235            	199.67856	-12.58440	 0.046	 0.081	bcu II 	        	    44.10	N	        	      	
J1319.3+1402 	  0	RX J1319.4+1405           	199.88226	+14.09253	 0.061	 0.081	bll    	 0.57300	    77.07	N	        	17.550	17.200
J1319.6+7759 	  0	NVSS J131921+775823       	199.83861	+77.97283	 0.029	 0.055	bcu II 	        	    25.85	N	        	17.603	
J1321.0+2215 	  0	TXS 1318+225              	200.29668	+22.27003	 0.027	 0.056	fsrq   	 0.94300	   314.07	N	        	19.414	18.160
J1321.7+8312 	  0	S5 1322+83                	200.44004	+83.27040	 0.064	 0.074	fsrq   	 1.02400	   565.51	N	        	      	
J1322.3+0839 	  0	NVSS J132210+084231       	200.54187	+08.70860	 0.065	 0.109	bcu II 	        	    71.34	N	        	19.377	18.380
J1322.6-1619 	  0	PMN J1322-1617            	200.68168	-16.29015	 0.032	 0.111	bcu II 	        	   111.25	N	        	18.723	
J1322.8-0938 	  0	PKS B1319-093             	200.65380	-09.62717	 0.054	 0.090	fsrq   	 1.86400	   403.58	N	        	19.262	
J1322.8-0938 	  0	PMN J1323-0943            	200.76275	-09.72557	 0.098	 0.090	bcu II 	        	   320.66	N	        	      	
J1322.9+0435 	  0	RBS 1257                  	200.75433	+04.66349	 0.070	 0.071	bll    	 0.22400	    37.09	N	  44.900	17.275	17.240
J1323.0+2942 	  0	4C +29.48                 	200.75364	+29.69578	 0.017	 0.039	bcu II 	        	  1369.72	N	   3.610	      	19.700
J1323.9+1405 	  0	RX J1323.9+1406           	200.99369	+14.10030	 0.006	 0.095	bll    	        	    31.32	N	  17.000	17.994	18.110
J1324.0-4330e	  0	CenA Lobes                	201.00000	-43.50000	 0.000	 0.000	rdg    	 0.00180	342000.00	S	 151.000	      	
J1325.4-4301 	  1	CenA Core                 	201.36506	-43.01911	 0.011	 0.028	rdg    	 0.00180	342000.00	S	 151.000	      	
J1326.1+2931 	  0	TXS 1323+298              	201.56242	+29.55856	 0.036	 0.059	bll    	        	   111.75	N	        	19.067	17.740
J1326.8+2211 	  0	B2 1324+22                	201.75359	+22.18060	 0.029	 0.047	fsrq   	 1.40000	   850.64	N	   5.690	18.565	18.480
J1327.9+2524 	  0	NVSS J132758+252750       	201.99438	+25.46394	 0.063	 0.066	bll    	        	    10.26	N	        	19.854	18.970
J1328.5-4728 	  0	1WGA J1328.6-4727         	202.16927	-47.46374	 0.023	 0.028	bcu II 	        	   123.60	S	        	17.435	
J1330.0+4437 	  0	1RXS J133021.4+444117     	202.59004	+44.68922	 0.081	 0.095	bll    	        	    21.23	N	  13.200	      	18.000
